domain_id,domain_name,userid,username,topic_id,topic_name,subtopic_id,subtopic_name,passage_id,passage_name,docno,offset_start,offset_end,grade,timestamp
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,73,But even less understood than the survivors are the people who were infected with Ebola but never developed any symptoms. After outbreaks in Uganda in the late 1990âs  scientists tested the blood of several people who were in close contact with Ebola patients  and found a number of them had markers in their blood indicating they carried the disease  but they were totally asymptomaticâthey managed to completely avoid the horrifying symptoms of the disease.  ,ebola-81b32ef4e2fd335b221b386e3e185b23012de61c49c4560084073bee9a7db9ab,0,465,1,2016-04-13 12:51:51.202861, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,84,But according to a letter in The Lancet medical journal  there may large numbers of people in West Africa - as yet unidentified - who are coming into contact with Ebola but never fall ill or infect others  and who may also be protected from future infection.  And if the effect such immunity can be confirmed  say the authors  it could have a significant impact on projections of how widely Ebola will spread. It could also help contain the outbreak.  They urge public health authorities to carry out a prompt investigation to establish how commonplace such immunity to Ebola might be. How many people have been infected without developing symptoms or spreading the disease? And are they likely to be protected from future outbreaks?  ,ebola-252d2d7a215a769ace368c1bff950069e8dfd0dfd042a6c2fd9fdf7d496cc53f,0,735,2,2016-04-13 13:00:39.003899, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,180,A surprisingly high proportion of the Gabonese population could have immunity against Ebola. Antibodies to the virus were found in 15.3% of rural communities  whereas these people had never had haemorrhagic fever or other specific symptoms of the disease (such as severe diarrhoea or vomiting). IRD researchers and their partners1 recently discovered this large number of healthy carriers among Gabonese people  even in areas where there has never been an Ebola outbreak. The scientists consider that these people have somehow come into contact with the virus  probably present in fruit contaminated by saliva from Chiroptera (fruit bats)2.  ,ebola-ce10a2c92c97ac2397e04d2db0f2c7a2ce00df33859c2a7e2d43b85d0da0d0fe,0,642,2,2016-04-13 13:34:47.592649, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,207,Ebola Immunity	Posted by Sue Bee on 17 Oct 2014 at 10:02 am	The immune factor is the CCR5 delta 32 mutation that Europeans have at a rate of about 10% average. These individuals can either be hetero or homozygous for the mutation  conferring greater protection with two copies. It's the same mutation that protects against Smallpox and HIV  though not 100%. Contrary to some articles  this is not a particularly good mutation as the normal (external) receptor has immunity jobs that aren't carried out with the receptor inside the cell. There has been some talk of Black Plague being the cause of the selection pressure  but some newer analysis has shown numerically that it was probably the 1000+ years of Smallpox that conferred the mutation. This is perhaps why the alleged cures in Africa too place  from using the HIV drugs. Those drugs were likely CCR5 antagonists and virus was unable to enter the T-cell and replicate. The idea with the Africans is that there is probably some European genetics in those with ancestors who came from America after the Civil War. Thoughts? Post a reply	—	Alert a moderator ,ebola-9e8bea45bfdb7b35ebc205d6cb94852329b74de711e12bafa8d3861a24ad94ad,0,1113,2,2016-04-13 13:43:28.729229, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,216,Small studies of household contacts of Ebola victims in West Africa show that some people are infected with the virus without ever falling ill. This is perhaps because of some unknown genetic advantage  reports The New York Times.  "It's fair to say that some people are immune " said Robert F. Garry Jr.  a Tulane University expert in hemorrhagic fevers who works in Sierra Leone.  In 2000  Dr. Leroy's team studied 24 Gabonese who had tended victims without ever falling ill. Eleven had not just antibodies but remnants of virus and markers of inflammation in their blood. They had clearly been infected and defeated the virus on their own.  "But we don't know if it's one percent  two percent or twenty percent."  There are about 1 800 survivors of the current West African outbreak  all of whom are now immune. But there may be many thousands more.  Determining the overall level of immunity in West Africa would require testing thousands of blood samples  an impossible task in the current conditions.  This knowledge could be a great help in fighting the current outbreak. Immune individuals could safely tend the sick and bury the dead just as smallpox survivors did in the centuries before smallpox vaccine. Also  scientist could harvest antibodies from their blood to treat new Ebola victims.  But many factors remain unclear  including which Africans have antibodies and how much antibody is needed to be protective.  The biggest mystery is how the immunity arose. It is possible that some get low doses of virus and become "vaccinated" by eating infected monkeys  bats that are undercooked  or fruit contaminated with bat saliva.  ,ebola-74069b78b9a189125b3a54f134bc9ac874cea9251cbd68ad704ec312588ca58d,0,1642,2,2016-04-13 13:46:29.690704, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,224,But according to a letter in The Lancet medical journal  there may large numbers of people in West Africa - as yet unidentified - who are coming into contact with Ebola but never fall ill or infect others  and who may also be protected from future infection.  And if the effect such immunity can be confirmed  say the authors  it could have a significant impact on projections of how widely Ebola will spread. It could also help contain the outbreak.  ,ebola-252d2d7a215a769ace368c1bff950069e8dfd0dfd042a6c2fd9fdf7d496cc53f,0,452,2,2016-04-13 13:48:50.418816, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,25,who has a natural immunity to ebola,875,In the present study  all the mice lost weight in the first few days after infection. Nineteen percent of the mice were unfazed. They not only survived  but also fully regained their lost weight within two weeks. They had no gross pathological evidence of disease. Their livers looked normal.  Eleven percent were partially resistant and less than half of these died. Seventy percent of the mice had a greater than 50 percent mortality. Nineteen percent of this last group had liver inflammation without classic symptoms of Ebola  and thirty-four percent had blood that took too long to clot  a hallmark of fatal Ebola hemorrhagic fever in humans. Those mice also had internal bleeding  swollen spleens and changes in liver color and texture.,ebola-0fdfd94e8c120557e1bc6ec6677c8e271a96035e170eb9c227cb208491c024e6,0,742,2,2016-04-14 13:18:53.342939, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,32,after having Ebola are you immune.,80,The two American Ebola patients who recovered and left the hospital this week are now thought to be immune to the strain of the virus that infected them  experts say. Ebola survivors are generally believed to be immune to future infection with the virus strain that made them sick.  ",ebola-0f665df41fa548b3af3f32ded579fef55b86d7f0b9c6c757cb9fa0091e930272,0,284,1,2016-04-13 12:58:21.552090, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,32,after having Ebola are you immune.,82,The two American Ebola patients who recovered and left the hospital this week are now thought to be immune to the strain of the virus that infected them  experts say. Ebola survivors are generally believed to be immune to future infection with the virus strain that made them sick.  ",ebola-0f665df41fa548b3af3f32ded579fef55b86d7f0b9c6c757cb9fa0091e930272,0,284,2,2016-04-13 12:59:04.350491, 
1,Ebola,3,assr3,351,is there a natural immunity to ebola,32,after having Ebola are you immune.,106,There is strong epidemiological evidence that once an individual has resolved an Ebola virus infection  they are immune to that strain " Dr. Bruce Ribner  director of the infectious disease unit at Emory University Hospital in Atlanta  told reporters Thursday (Aug. 21). [Ebola Virus: 5 Things You Should Know]  ,ebola-9367dbdf260280823037b91632d234e8a594c6e6e93530582456bed9f3318e9a,0,312,2,2016-04-13 13:07:46.395232, 
