domain_id,domain_name,userid,username,topic_id,topic_name,subtopic_id,subtopic_name,passage_id,passage_name,docno,offset_start,offset_end,grade,timestamp
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,40,Interfaith task force created in Sierra Leone,343, Christians and Muslims in Sierra Leone has once again been taken to another level  this time round to jointly fight the Ebola menace ravaging the lives of their people. The battle strategy is manifested in a task force that the leaders representing the two religious groups unveiled on Saturday July 11  2014 at the Council of Churches of Sierra Leone (CCSL) at Kingharman Road in Freetown.  ,ebola-154240b340d88b684e893f6c1cc575e2e84c994bb7ebf5be54853e270aa226a5,0,393,3,2016-04-13 15:21:02.255116, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,40,Interfaith task force created in Sierra Leone,377,Rev. Chief Gbokoyai Speck said at the outbreak of the Ebola disaster religious leaders of both the Christian and Muslim faiths came together and formed the Religious Leaders Task Force on Ebola to mobilize their respective congregations to fight the disease.  ,ebola-f21c6dd9ac4c64d136833dcdd601726cf5cf265d8c308b488207e041ea8a9789,0,260,3,2016-04-13 15:39:55.667545, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,40,Interfaith task force created in Sierra Leone,381,Bishop John Yambasu of the United Methodist Church (UMC) who initiated the task force for religious leaders.  ,ebola-f21c6dd9ac4c64d136833dcdd601726cf5cf265d8c308b488207e041ea8a9789,0,110,2,2016-04-13 15:41:22.075064, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,40,Interfaith task force created in Sierra Leone,384,Sierra Leone's two main faith groups â Christians and Muslims â have formed an alliance to join the fight against Ebola amid increasing infection and death rates from the epidemic in the country.  The Religious Leaders Task Force on Ebola  chaired by United Methodist Bishop John K. Yambasu  was launched July 11 in Freetown,ebola-594a90cb7cae3a3f0154e92069d82c0891cc150fcebaad5f0eb3d5668ba68838,0,328,3,2016-04-13 15:51:18.964168, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,40,Interfaith task force created in Sierra Leone,395,Archbishop Tamba Charles of the Freetown Archdiocese of the Roman Catholic Church in Sierra Leone; Sheik Abubakar Conteh   president of inter- religious council of Sierra Leone  and United Methodist resident bishop  John K. Yambasu  chairman of the religious leaders task force  stand together at a July 11 press conference,ebola-594a90cb7cae3a3f0154e92069d82c0891cc150fcebaad5f0eb3d5668ba68838,14,337,2,2016-04-13 16:13:45.190938, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,41,Prayers and fasting,354,They are also asking all religious leader and their congregations to commit themselves to a time of prayer and fasting for God to avert the pestilence and save the nation from further deterioration.  The religious leaders have at the same time called on religious groups to declare 3 days of prayer and fasting in this month (July)  ,ebola-154240b340d88b684e893f6c1cc575e2e84c994bb7ebf5be54853e270aa226a5,0,333,3,2016-04-13 15:24:46.143611, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,43,Pulpit,360, preach sermons ofÂ  hope and Godâs presence in the lives of the people  and for religious leaders to teach their congregations basic prevention strategies.  ,ebola-154240b340d88b684e893f6c1cc575e2e84c994bb7ebf5be54853e270aa226a5,0,160,3,2016-04-13 15:27:01.580689, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,43,Pulpit,383,the Religious Leaders Task Force on Ebola to mobilize their respective congregations to fight the disease.  ,ebola-f21c6dd9ac4c64d136833dcdd601726cf5cf265d8c308b488207e041ea8a9789,0,108,3,2016-04-13 15:48:07.016471, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,43,Pulpit,389,Pastors and imams are expected to take the knowledge from the training back to their respective congregations and must preach about Ebola during every prayer session.  ,ebola-594a90cb7cae3a3f0154e92069d82c0891cc150fcebaad5f0eb3d5668ba68838,0,168,3,2016-04-13 15:57:22.769566, 
1,Ebola,6,assr6,357,Efforts by Religious Leaders to prevent the spread of Ebola,43,Pulpit,401,second we are using our pulpit  our mosques  our churches. ,ebola-c02d7f35e9156281c75fd52815d5085158d9a927e2f5a6aaa5671216162072a2,97,156,3,2016-04-13 16:33:28.225963, 
