domain_id,domain_name,userid,username,topic_id,topic_name,subtopic_id,subtopic_name,passage_id,passage_name,docno,offset_start,offset_end,grade,timestamp
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,54,Experimental Ebola drug  ZMapp  healed all infected monkeys in a study  giving hope for an imminent cure.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,105,4,2016-04-13 12:39:43.843220, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,56,The most promising experimental treatment for Ebola virus disease is finally ready to be tested in Liberia. ,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,108,4,2016-04-13 12:40:14.673032, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,57,An experimental Ebola drug healed all 18 monkeys infected with the deadly virus in a study  boosting hopes that the treatment might help fight the outbreak raging through West Africa â once more of it can be made.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,215,4,2016-04-13 12:40:40.868414, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,61,The experimental drug pressed into emergency use in the West African Ebola epidemic cured a group of 18 monkeys of the deadly disease  including some who didn't receive the treatment until five days after they were injected with the virus  researchers repo,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,256,4,2016-04-13 12:47:08.738770, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,62,The only trial data on the experimental Ebola drug ZMapp shows it is 100% effective in monkey studies  even in later stages of the infection.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,141,4,2016-04-13 12:47:38.169365, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,63,ZMapp is the first treatment to completely protect animals after they show symptoms of disease.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,95,4,2016-04-13 12:47:57.050466, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,64,Hopes of a breakthrough in the fight against Ebola have been raised by the 100% successful treatment of monkeys with the deadly disease.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,136,4,2016-04-13 12:48:12.892605, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,66,An experimental Ebola drug healed all 18 monkeys infected with the deadly virus in a study  boosting hopes that the treatment might help fight the outbreak raging through West Africa â once more of it can be made. ,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,0,216,4,2016-04-13 12:48:59.011273, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,67, a test  18 monkeys injected with the Ebola virus and treated with an experimental drug called ZMapp survived.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,2,112,4,2016-04-13 12:49:11.898430, 
1,Ebola,4,assr4,341,Experimental Drugs,20,Treatment Success,68,An experimental Ebola drug healed all 18 monkeys infected with the deadly virus in a study  boosting hopes that the treatment might help fight the outbreak raging through West Africa - once more of it can be made.,ebola-cec3acd2450c6516f5b16fdb57e84331cac00a7d859c2f2317646fcdd9ff2a18,23,236,4,2016-04-13 12:49:27.497398, 
